,,RN,,,,,,,,,,,,,,,,,,,,,,MLP,,,,,,,,,,,,,,,,,,,,,
#,RN-MLP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,mean,se,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,mean,se
1,-0.25%,0.49,0.52,0.52,0.48,0.5,0.51,0.51,0.5,0.51,0.51,0.49,0.52,0.51,0.51,0.49,0.49,0.48,0.5,0.5,0.5,50.20%,0.27%,0.49,0.47,0.51,0.48,0.51,0.51,0.53,0.51,0.51,0.49,0.49,0.53,0.5,0.51,0.51,0.52,0.51,0.51,0.5,0.5,50.45%,0.33%
2,-2.50%,0.51,0.61,0.79,0.91,0.95,0.94,0.92,0.96,0.94,0.97,0.96,0.97,0.97,0.97,0.92,0.77,0.91,0.96,0.97,0.97,89.35%,2.79%,0.49,0.58,0.77,0.93,0.95,0.97,0.98,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,91.85%,3.05%
3,-9.15%,0.47,0.51,0.51,0.47,0.47,0.48,0.49,0.46,0.52,0.66,0.78,0.82,0.85,0.84,0.86,0.86,0.87,0.85,0.86,0.85,67.40%,3.92%,0.47,0.48,0.53,0.52,0.58,0.6,0.64,0.72,0.8,0.85,0.89,0.89,0.91,0.92,0.92,0.92,0.9,0.93,0.92,0.92,76.55%,3.84%
4,-3.25%,0.51,0.71,0.78,0.84,0.82,0.85,0.86,0.81,0.81,0.85,0.86,0.83,0.81,0.72,0.87,0.84,0.78,0.68,0.85,0.86,79.70%,1.88%,0.5,0.64,0.79,0.83,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,0.88,0.86,0.87,0.85,0.87,0.87,0.85,0.88,82.95%,2.05%
5,1.30%,0.5,0.51,0.51,0.49,0.49,0.49,0.47,0.49,0.52,0.49,0.5,0.5,0.49,0.5,0.49,0.51,0.5,0.5,0.5,0.5,49.75%,0.23%,0.46,0.44,0.51,0.49,0.5,0.48,0.48,0.5,0.49,0.49,0.48,0.5,0.47,0.49,0.49,0.5,0.49,0.48,0.47,0.48,48.45%,0.35%
6,-1.05%,0.51,0.6,0.68,0.67,0.71,0.7,0.69,0.66,0.71,0.71,0.69,0.67,0.65,0.69,0.71,0.67,0.68,0.67,0.68,0.66,67.05%,1.00%,0.53,0.63,0.7,0.72,0.72,0.72,0.72,0.71,0.65,0.69,0.69,0.68,0.7,0.68,0.69,0.68,0.69,0.67,0.68,0.67,68.10%,0.93%
7,1.20%,0.5,0.49,0.5,0.49,0.48,0.5,0.49,0.49,0.49,0.48,0.47,0.49,0.48,0.48,0.46,0.46,0.47,0.47,0.48,0.48,48.25%,0.26%,0.48,0.45,0.48,0.48,0.48,0.5,0.47,0.46,0.46,0.48,0.47,0.47,0.47,0.48,0.45,0.46,0.47,0.47,0.47,0.46,47.05%,0.26%
8,0.60%,0.76,0.85,0.88,0.87,0.89,0.87,0.88,0.89,0.87,0.89,0.84,0.88,0.88,0.81,0.82,0.87,0.81,0.86,0.85,0.82,85.45%,0.76%,0.71,0.87,0.89,0.86,0.9,0.88,0.89,0.88,0.87,0.87,0.86,0.85,0.85,0.83,0.83,0.82,0.85,0.81,0.84,0.81,84.85%,0.91%
9,-3.10%,0.49,0.51,0.51,0.49,0.47,0.5,0.5,0.5,0.48,0.48,0.5,0.49,0.5,0.49,0.5,0.5,0.49,0.49,0.47,0.48,49.20%,0.25%,0.49,0.48,0.49,0.52,0.52,0.52,0.53,0.53,0.53,0.55,0.53,0.55,0.53,0.54,0.52,0.53,0.53,0.53,0.52,0.52,52.30%,0.39%
